recruit_id,candidate_name,position,interview_date,status
141,Candidate 141,Tester,2025-01-27,Pending
142,Candidate 142,Analyst,2024-09-11,Rejected
143,Candidate 143,Tester,2024-05-11,Rejected
144,Candidate 144,HR,2025-10-03,Rejected
145,Candidate 145,Developer,2024-02-16,Pending
146,Candidate 146,Tester,2025-01-18,Rejected
147,Candidate 147,Analyst,2024-11-23,Selected
148,Candidate 148,Tester,2024-09-08,Rejected
149,Candidate 149,Tester,2025-07-28,Pending
150,Candidate 150,Tester,2025-02-12,Selected
151,Candidate 151,Analyst,2024-07-16,Selected
152,Candidate 152,Analyst,2024-12-20,Selected
153,Candidate 153,HR,2024-11-24,Selected
154,Candidate 154,Developer,2024-02-20,Selected
155,Candidate 155,HR,2025-06-03,Selected
156,Candidate 156,Analyst,2025-07-09,Selected
157,Candidate 157,HR,2025-06-11,Pending
158,Candidate 158,Tester,2024-08-10,Selected
159,Candidate 159,HR,2024-05-04,Selected
160,Candidate 160,Developer,2024-09-24,Pending
161,Candidate 161,HR,2025-07-31,Pending
162,Candidate 162,Analyst,2024-09-30,Selected
163,Candidate 163,Analyst,2025-11-07,Pending
164,Candidate 164,HR,2024-01-17,Rejected
165,Candidate 165,Tester,2024-03-29,Selected
166,Candidate 166,Developer,2024-01-20,Rejected
167,Candidate 167,HR,2025-07-25,Selected
168,Candidate 168,Developer,2025-02-01,Rejected
169,Candidate 169,Analyst,2025-03-26,Pending
170,Candidate 170,Developer,2024-01-10,Selected
171,Candidate 171,HR,2025-05-03,Pending
172,Candidate 172,Tester,2025-10-08,Pending
173,Candidate 173,Developer,2025-04-07,Selected
174,Candidate 174,Analyst,2024-03-14,Selected
175,Candidate 175,Tester,2024-05-27,Selected
176,Candidate 176,Developer,2025-07-02,Rejected
177,Candidate 177,HR,2024-03-09,Selected
178,Candidate 178,Developer,2025-07-09,Selected
179,Candidate 179,Developer,2024-12-23,Pending
180,Candidate 180,Analyst,2024-10-11,Rejected
181,Candidate 181,Analyst,2025-11-09,Rejected
182,Candidate 182,Analyst,2025-06-30,Rejected
183,Candidate 183,Analyst,2025-02-07,Pending
184,Candidate 184,Analyst,2024-11-01,Pending
185,Candidate 185,HR,2025-04-13,Rejected
186,Candidate 186,Analyst,2024-07-07,Selected
187,Candidate 187,Analyst,2025-05-25,Rejected
188,Candidate 188,HR,2024-06-21,Pending
189,Candidate 189,Analyst,2024-09-28,Pending
190,Candidate 190,Developer,2025-02-17,Pending
191,Candidate 191,HR,2025-10-31,Selected
192,Candidate 192,HR,2024-04-21,Pending
193,Candidate 193,HR,2024-02-15,Selected
194,Candidate 194,Tester,2024-01-25,Selected
195,Candidate 195,Developer,2025-08-13,Pending
196,Candidate 196,Developer,2025-04-18,Pending
197,Candidate 197,Tester,2025-01-09,Pending
198,Candidate 198,Analyst,2024-06-30,Selected
199,Candidate 199,Developer,2025-01-12,Pending
200,Candidate 200,Developer,2024-02-26,Selected
201,Candidate 201,Analyst,2024-06-07,Selected
202,Candidate 202,HR,2024-08-12,Pending
203,Candidate 203,Analyst,2025-11-23,Selected
204,Candidate 204,HR,2025-02-20,Rejected
205,Candidate 205,Tester,2025-01-28,Pending
206,Candidate 206,Analyst,2024-10-02,Pending
207,Candidate 207,Analyst,2025-02-25,Selected
208,Candidate 208,Tester,2024-08-11,Selected
209,Candidate 209,HR,2024-06-21,Rejected
210,Candidate 210,Analyst,2024-11-20,Pending
211,Candidate 211,HR,2024-02-02,Selected
212,Candidate 212,Analyst,2024-11-24,Rejected
213,Candidate 213,Tester,2024-04-12,Selected
214,Candidate 214,Analyst,2025-07-13,Rejected
215,Candidate 215,Analyst,2024-06-11,Rejected
216,Candidate 216,Analyst,2024-04-23,Selected
217,Candidate 217,Tester,2025-07-27,Rejected
218,Candidate 218,HR,2024-07-30,Selected
219,Candidate 219,HR,2025-05-26,Pending
220,Candidate 220,Tester,2024-08-20,Pending
221,Candidate 221,Developer,2024-09-22,Rejected
222,Candidate 222,Tester,2025-08-11,Pending
223,Candidate 223,Analyst,2025-10-30,Rejected
224,Candidate 224,HR,2025-04-07,Selected
225,Candidate 225,Developer,2025-04-11,Selected
226,Candidate 226,Analyst,2024-01-01,Rejected
227,Candidate 227,Analyst,2024-05-14,Selected
228,Candidate 228,Analyst,2025-10-09,Selected
229,Candidate 229,Developer,2025-08-13,Rejected
230,Candidate 230,Analyst,2025-07-07,Rejected
231,Candidate 231,HR,2024-10-27,Selected
232,Candidate 232,Analyst,2025-01-12,Pending
233,Candidate 233,Developer,2024-04-07,Rejected
234,Candidate 234,HR,2024-10-23,Pending
235,Candidate 235,HR,2024-07-05,Rejected
236,Candidate 236,Tester,2024-11-25,Rejected
237,Candidate 237,HR,2025-07-15,Rejected
238,Candidate 238,Analyst,2025-03-03,Rejected
239,Candidate 239,Developer,2025-06-30,Rejected
240,Candidate 240,HR,2024-11-10,Rejected
241,Candidate 241,HR,2025-11-09,Selected
242,Candidate 242,HR,2024-05-12,Selected
243,Candidate 243,HR,2024-08-30,Pending
244,Candidate 244,Analyst,2025-06-12,Pending
245,Candidate 245,HR,2024-05-23,Pending
246,Candidate 246,Developer,2024-12-23,Selected
247,Candidate 247,HR,2025-06-26,Pending
248,Candidate 248,Tester,2024-03-01,Pending
249,Candidate 249,Analyst,2024-11-03,Rejected
250,Candidate 250,HR,2025-06-10,Pending
251,Candidate 251,Developer,2024-01-03,Rejected
252,Candidate 252,HR,2024-01-08,Selected
253,Candidate 253,Analyst,2025-08-21,Rejected
254,Candidate 254,Developer,2024-02-13,Rejected
255,Candidate 255,Developer,2025-09-14,Rejected
256,Candidate 256,Tester,2024-02-23,Selected
257,Candidate 257,Analyst,2024-02-18,Rejected
258,Candidate 258,HR,2025-01-16,Pending
259,Candidate 259,Analyst,2024-11-24,Rejected
260,Candidate 260,Tester,2024-02-05,Pending
261,Candidate 261,Analyst,2024-05-11,Pending
262,Candidate 262,Analyst,2025-11-01,Selected
263,Candidate 263,Developer,2024-04-01,Selected
264,Candidate 264,Developer,2024-07-14,Rejected
265,Candidate 265,Tester,2024-06-10,Selected
266,Candidate 266,Analyst,2025-01-17,Pending
267,Candidate 267,Analyst,2024-08-22,Selected
268,Candidate 268,Tester,2024-11-23,Pending
269,Candidate 269,Tester,2024-05-12,Rejected
270,Candidate 270,Analyst,2024-04-06,Rejected
271,Candidate 271,HR,2025-02-15,Rejected
272,Candidate 272,Developer,2024-07-31,Pending
273,Candidate 273,HR,2025-08-26,Rejected
274,Candidate 274,Tester,2025-02-03,Rejected
275,Candidate 275,HR,2024-03-12,Rejected
276,Candidate 276,Developer,2025-05-12,Pending
277,Candidate 277,Developer,2024-11-30,Selected
278,Candidate 278,Analyst,2024-11-21,Rejected
279,Candidate 279,Analyst,2025-08-09,Selected
280,Candidate 280,Analyst,2025-09-15,Rejected
281,Candidate 281,Tester,2024-03-30,Pending
282,Candidate 282,Analyst,2025-09-10,Pending
283,Candidate 283,Analyst,2025-05-14,Rejected
284,Candidate 284,HR,2024-06-28,Rejected
285,Candidate 285,Tester,2024-02-05,Rejected
286,Candidate 286,Analyst,2025-09-24,Rejected
287,Candidate 287,HR,2024-12-16,Pending
288,Candidate 288,Developer,2024-12-18,Rejected
289,Candidate 289,Analyst,2024-04-21,Selected
290,Candidate 290,Tester,2024-05-03,Rejected
291,Candidate 291,Tester,2025-09-09,Selected
292,Candidate 292,Developer,2025-05-30,Selected
293,Candidate 293,HR,2025-02-27,Selected
294,Candidate 294,HR,2025-03-11,Pending
295,Candidate 295,Analyst,2024-06-19,Pending
296,Candidate 296,Analyst,2024-02-19,Rejected
297,Candidate 297,Tester,2024-04-27,Selected
298,Candidate 298,Developer,2025-11-03,Pending
299,Candidate 299,Developer,2024-03-25,Rejected
300,Candidate 300,Tester,2024-12-22,Selected
301,Candidate 301,Developer,2024-12-31,Rejected
302,Candidate 302,Developer,2025-01-10,Selected
303,Candidate 303,Tester,2024-09-04,Pending
304,Candidate 304,Developer,2025-06-17,Rejected
305,Candidate 305,Developer,2025-07-30,Rejected
306,Candidate 306,Analyst,2025-06-08,Rejected
307,Candidate 307,Tester,2024-08-13,Rejected
308,Candidate 308,Tester,2024-08-11,Pending
309,Candidate 309,Developer,2024-08-09,Rejected
310,Candidate 310,Tester,2025-07-14,Selected
311,Candidate 311,HR,2025-01-25,Selected
312,Candidate 312,Analyst,2025-02-13,Rejected
313,Candidate 313,Tester,2025-02-08,Pending
314,Candidate 314,HR,2024-05-08,Selected
315,Candidate 315,HR,2024-01-25,Pending
316,Candidate 316,Developer,2025-10-08,Selected
317,Candidate 317,HR,2025-03-09,Selected
318,Candidate 318,Tester,2025-09-17,Pending
319,Candidate 319,Developer,2024-01-16,Pending
320,Candidate 320,Tester,2025-11-19,Selected
321,Candidate 321,Tester,2025-11-18,Pending
322,Candidate 322,HR,2025-01-23,Rejected
323,Candidate 323,HR,2025-07-12,Selected
324,Candidate 324,Developer,2025-06-28,Pending
325,Candidate 325,Developer,2025-11-10,Selected
326,Candidate 326,Developer,2024-02-17,Selected
327,Candidate 327,Analyst,2024-10-24,Rejected
328,Candidate 328,Developer,2024-03-26,Selected
329,Candidate 329,Analyst,2025-09-08,Selected
330,Candidate 330,Tester,2024-01-09,Selected
331,Candidate 331,Analyst,2024-08-08,Selected
332,Candidate 332,Analyst,2024-01-03,Rejected
333,Candidate 333,Developer,2024-08-26,Selected
334,Candidate 334,Analyst,2024-06-19,Selected
335,Candidate 335,Analyst,2025-02-23,Selected
336,Candidate 336,Analyst,2025-10-26,Rejected
337,Candidate 337,Developer,2024-03-13,Pending
338,Candidate 338,HR,2024-10-18,Rejected
339,Candidate 339,Developer,2024-08-08,Rejected
340,Candidate 340,Developer,2024-03-24,Pending
341,Candidate 341,Developer,2024-03-30,Rejected
342,Candidate 342,Analyst,2024-04-27,Pending
343,Candidate 343,Developer,2024-01-19,Selected
344,Candidate 344,Tester,2025-03-30,Selected
345,Candidate 345,Developer,2024-01-17,Pending
346,Candidate 346,Developer,2025-09-03,Rejected
347,Candidate 347,Developer,2025-11-22,Rejected
348,Candidate 348,HR,2024-06-14,Rejected
349,Candidate 349,Developer,2024-04-12,Pending
350,Candidate 350,HR,2024-12-10,Selected
351,Candidate 351,Tester,2024-04-03,Pending
352,Candidate 352,HR,2025-07-03,Pending
353,Candidate 353,Developer,2025-03-24,Selected
354,Candidate 354,Developer,2024-02-23,Pending
355,Candidate 355,Developer,2024-03-14,Pending
356,Candidate 356,Developer,2024-05-24,Selected
357,Candidate 357,Tester,2025-11-27,Rejected
358,Candidate 358,Analyst,2024-10-17,Pending
359,Candidate 359,Developer,2025-06-22,Selected
360,Candidate 360,HR,2025-06-08,Rejected
361,Candidate 361,Tester,2025-05-21,Pending
362,Candidate 362,HR,2025-03-16,Rejected
363,Candidate 363,Analyst,2024-01-31,Rejected
364,Candidate 364,Developer,2024-06-23,Pending
365,Candidate 365,Analyst,2025-05-29,Pending
366,Candidate 366,Analyst,2025-04-09,Selected
367,Candidate 367,Developer,2025-09-11,Selected
368,Candidate 368,Tester,2025-01-22,Rejected
369,Candidate 369,Tester,2025-09-09,Pending
370,Candidate 370,HR,2024-01-18,Pending
371,Candidate 371,Developer,2024-01-02,Selected
372,Candidate 372,Analyst,2024-09-09,Pending
373,Candidate 373,Tester,2024-07-23,Selected
374,Candidate 374,Developer,2024-10-07,Selected
375,Candidate 375,Analyst,2024-05-12,Rejected
376,Candidate 376,Analyst,2024-12-11,Selected
377,Candidate 377,Analyst,2024-04-17,Pending
378,Candidate 378,Tester,2025-05-04,Selected
379,Candidate 379,Developer,2025-04-10,Selected
380,Candidate 380,Tester,2025-08-12,Selected
381,Candidate 381,HR,2024-08-01,Rejected
382,Candidate 382,HR,2024-01-29,Pending
383,Candidate 383,Tester,2025-06-25,Pending
384,Candidate 384,Analyst,2025-10-06,Rejected
385,Candidate 385,HR,2024-05-25,Pending
386,Candidate 386,HR,2025-03-28,Rejected
387,Candidate 387,Analyst,2025-08-27,Pending
388,Candidate 388,Developer,2025-04-02,Rejected
389,Candidate 389,Tester,2025-02-20,Pending
390,Candidate 390,Tester,2025-03-16,Rejected
391,Candidate 391,Analyst,2025-07-03,Pending
392,Candidate 392,Tester,2024-07-15,Selected
393,Candidate 393,Developer,2025-10-20,Rejected
394,Candidate 394,HR,2024-08-27,Pending
395,Candidate 395,Tester,2024-03-19,Rejected
396,Candidate 396,Developer,2024-05-06,Rejected
397,Candidate 397,Developer,2024-08-02,Pending
398,Candidate 398,Tester,2025-07-23,Rejected
399,Candidate 399,Tester,2024-09-14,Selected
400,Candidate 400,Analyst,2025-02-08,Selected
401,Candidate 401,HR,2025-04-05,Pending
402,Candidate 402,HR,2024-09-16,Rejected
403,Candidate 403,Tester,2024-09-01,Rejected
404,Candidate 404,HR,2024-08-27,Rejected
405,Candidate 405,Developer,2024-09-14,Pending
406,Candidate 406,Developer,2025-05-08,Pending
407,Candidate 407,HR,2024-11-03,Selected
408,Candidate 408,Developer,2024-09-29,Pending
409,Candidate 409,Tester,2025-02-19,Selected
410,Candidate 410,Developer,2024-12-08,Rejected
411,Candidate 411,Developer,2024-11-21,Rejected
412,Candidate 412,Analyst,2025-06-09,Selected
413,Candidate 413,Tester,2025-04-05,Pending
414,Candidate 414,HR,2024-12-04,Rejected
415,Candidate 415,Tester,2024-08-09,Pending
416,Candidate 416,HR,2024-02-22,Rejected
417,Candidate 417,Tester,2025-07-07,Pending
418,Candidate 418,HR,2025-05-02,Selected
419,Candidate 419,Developer,2024-12-05,Pending
420,Candidate 420,Tester,2025-04-16,Pending
421,Candidate 421,Developer,2024-09-21,Selected
422,Candidate 422,Analyst,2024-01-01,Pending
423,Candidate 423,Tester,2025-07-08,Selected
424,Candidate 424,Developer,2024-05-09,Selected
425,Candidate 425,Developer,2024-01-06,Pending
426,Candidate 426,Developer,2025-10-11,Rejected
427,Candidate 427,Tester,2025-01-31,Rejected
428,Candidate 428,Tester,2024-01-18,Selected
429,Candidate 429,Analyst,2024-02-01,Selected
430,Candidate 430,Developer,2024-07-29,Selected
431,Candidate 431,Analyst,2024-01-09,Rejected
432,Candidate 432,HR,2024-09-01,Pending
433,Candidate 433,Analyst,2025-02-20,Rejected
434,Candidate 434,Tester,2024-07-21,Rejected
435,Candidate 435,HR,2025-06-14,Pending
436,Candidate 436,HR,2024-08-14,Selected
437,Candidate 437,HR,2024-01-29,Rejected
438,Candidate 438,HR,2025-01-08,Selected
439,Candidate 439,HR,2024-12-20,Selected
440,Candidate 440,Tester,2024-03-22,Selected
441,Candidate 441,Analyst,2024-08-27,Pending
442,Candidate 442,Developer,2024-08-08,Rejected
443,Candidate 443,Analyst,2024-11-20,Pending
444,Candidate 444,Analyst,2025-11-07,Pending
445,Candidate 445,Developer,2025-05-06,Selected
446,Candidate 446,Developer,2024-09-04,Selected
447,Candidate 447,HR,2024-01-13,Selected
448,Candidate 448,Tester,2024-02-08,Pending
449,Candidate 449,Tester,2024-04-23,Pending
450,Candidate 450,Tester,2025-02-19,Rejected
451,Candidate 451,HR,2025-05-10,Rejected
452,Candidate 452,HR,2025-04-23,Pending
453,Candidate 453,HR,2025-06-08,Selected
454,Candidate 454,Analyst,2024-04-30,Rejected
455,Candidate 455,Analyst,2024-03-12,Selected
456,Candidate 456,Tester,2025-03-03,Pending
457,Candidate 457,HR,2025-05-31,Pending
458,Candidate 458,Tester,2024-02-21,Rejected
459,Candidate 459,Analyst,2025-08-05,Selected
460,Candidate 460,HR,2025-01-19,Rejected
461,Candidate 461,Tester,2025-09-05,Selected
462,Candidate 462,Tester,2024-09-06,Selected
463,Candidate 463,HR,2025-08-17,Pending
464,Candidate 464,Analyst,2024-09-07,Rejected
465,Candidate 465,Developer,2025-05-03,Pending
466,Candidate 466,HR,2024-05-19,Pending
467,Candidate 467,Analyst,2024-12-14,Rejected
468,Candidate 468,HR,2024-02-19,Selected
469,Candidate 469,Developer,2024-09-03,Rejected
470,Candidate 470,Analyst,2025-06-12,Pending
471,Candidate 471,Developer,2025-06-24,Selected
472,Candidate 472,Analyst,2024-09-02,Pending
473,Candidate 473,HR,2025-03-20,Rejected
474,Candidate 474,Developer,2025-10-20,Selected
475,Candidate 475,Tester,2024-12-12,Pending
476,Candidate 476,HR,2024-06-14,Pending
477,Candidate 477,Analyst,2025-05-25,Selected
478,Candidate 478,Tester,2024-02-15,Rejected
479,Candidate 479,Tester,2024-01-15,Rejected
480,Candidate 480,Analyst,2024-05-16,Pending
481,Candidate 481,Tester,2024-01-02,Rejected
482,Candidate 482,Tester,2025-09-29,Pending
483,Candidate 483,Analyst,2024-07-25,Pending
484,Candidate 484,Developer,2024-11-18,Pending
485,Candidate 485,Tester,2025-03-23,Selected
486,Candidate 486,HR,2024-12-28,Selected
487,Candidate 487,Developer,2024-08-10,Pending
488,Candidate 488,Tester,2024-05-05,Pending
489,Candidate 489,Tester,2025-07-19,Selected
490,Candidate 490,Tester,2025-03-06,Rejected
491,Candidate 491,Tester,2025-05-06,Pending
492,Candidate 492,Analyst,2025-09-21,Rejected
493,Candidate 493,Analyst,2025-11-19,Selected
494,Candidate 494,Developer,2024-11-24,Rejected
495,Candidate 495,Analyst,2024-10-06,Pending
496,Candidate 496,Tester,2024-11-17,Pending
497,Candidate 497,Analyst,2024-12-18,Selected
498,Candidate 498,Analyst,2025-08-30,Pending
499,Candidate 499,Analyst,2025-05-18,Selected
500,Candidate 500,Analyst,2024-05-25,Pending
501,Candidate 501,Analyst,2025-07-01,Selected
502,Candidate 502,Tester,2025-01-18,Rejected
503,Candidate 503,Tester,2025-07-21,Rejected
504,Candidate 504,HR,2024-08-20,Rejected
505,Candidate 505,Tester,2025-04-19,Selected
506,Candidate 506,Developer,2025-11-23,Selected
507,Candidate 507,Analyst,2024-06-03,Pending
508,Candidate 508,Analyst,2024-05-09,Rejected
509,Candidate 509,Tester,2025-04-09,Pending
510,Candidate 510,Tester,2025-04-24,Selected
511,Candidate 511,Analyst,2024-01-04,Rejected
512,Candidate 512,Tester,2025-05-26,Selected
513,Candidate 513,Tester,2025-10-05,Selected
514,Candidate 514,Analyst,2025-04-20,Rejected
515,Candidate 515,Developer,2025-01-21,Pending
516,Candidate 516,HR,2024-06-25,Selected
517,Candidate 517,Tester,2024-11-08,Pending
518,Candidate 518,HR,2024-01-20,Rejected
519,Candidate 519,Tester,2024-10-27,Rejected
520,Candidate 520,Tester,2024-11-19,Selected
521,Candidate 521,Developer,2025-05-08,Pending
522,Candidate 522,Analyst,2025-04-13,Pending
523,Candidate 523,Tester,2024-07-15,Pending
524,Candidate 524,HR,2024-10-13,Pending
525,Candidate 525,Analyst,2024-09-25,Rejected
526,Candidate 526,HR,2024-01-10,Pending
527,Candidate 527,Developer,2025-03-28,Pending
528,Candidate 528,Tester,2024-12-20,Pending
529,Candidate 529,Tester,2024-10-18,Rejected
530,Candidate 530,HR,2024-04-27,Selected
531,Candidate 531,Developer,2024-01-23,Selected
532,Candidate 532,Developer,2024-09-25,Selected
533,Candidate 533,Developer,2025-05-18,Pending
534,Candidate 534,Tester,2025-08-21,Rejected
535,Candidate 535,HR,2025-02-10,Pending
536,Candidate 536,Analyst,2024-06-03,Pending
537,Candidate 537,Developer,2025-03-06,Pending
538,Candidate 538,HR,2025-06-01,Rejected
539,Candidate 539,Analyst,2024-08-29,Selected
540,Candidate 540,Analyst,2025-05-14,Selected
541,Candidate 541,HR,2024-02-08,Selected
542,Candidate 542,Developer,2024-06-30,Pending
543,Candidate 543,Developer,2025-03-18,Rejected
544,Candidate 544,Developer,2025-11-15,Rejected
545,Candidate 545,Analyst,2024-07-18,Rejected
546,Candidate 546,Developer,2025-06-08,Pending
547,Candidate 547,HR,2025-11-26,Pending
548,Candidate 548,Analyst,2024-04-07,Rejected
549,Candidate 549,Developer,2025-05-22,Rejected
550,Candidate 550,Analyst,2024-08-21,Rejected
551,Candidate 551,Analyst,2024-06-11,Selected
552,Candidate 552,Analyst,2025-04-10,Rejected
553,Candidate 553,Developer,2024-09-02,Pending
554,Candidate 554,HR,2025-09-24,Rejected
555,Candidate 555,Tester,2025-04-03,Pending
556,Candidate 556,Developer,2025-02-19,Selected
557,Candidate 557,Tester,2025-06-23,Rejected
558,Candidate 558,Tester,2025-09-21,Rejected
559,Candidate 559,HR,2025-03-15,Rejected
560,Candidate 560,Developer,2024-12-05,Selected
561,Candidate 561,Analyst,2024-06-07,Rejected
562,Candidate 562,Analyst,2024-03-30,Rejected
563,Candidate 563,Tester,2025-02-20,Pending
564,Candidate 564,Developer,2025-06-13,Pending
565,Candidate 565,Tester,2025-01-29,Pending
566,Candidate 566,Tester,2025-01-06,Rejected
567,Candidate 567,HR,2025-04-03,Rejected
568,Candidate 568,Tester,2024-11-04,Rejected
569,Candidate 569,Tester,2024-09-08,Rejected
570,Candidate 570,Analyst,2025-11-06,Pending
571,Candidate 571,Tester,2024-11-06,Selected
572,Candidate 572,Developer,2024-12-02,Rejected
